♟,グッド（上向き矢印）
☀,天秤座
🌝,夜
🌞,天秤座
⭐,ブティック
🌟,ぴかぴか（新しい）
🌠,ブティック
☁,雨
⛅,雨
⛈,雨
🌤,雨
🌥,雨
🌦,雨
🌧,雨
🌨,雨
🌩,雨
🌪,雨
🌫,雨
🌬,耳
🌀,ガソリンスタンド
🌈,グッド（上向き矢印）
🌂,蟹座
☂,蟹座
☔,蟹座
⛱,双子座
⚡,もうやだ～（悲しい顔）
❄,がく～（落胆した顔）
☃,雪
⛄,雪
☄,天秤座
🔥,グッド（上向き矢印）
💧,蟹座
🌊,雨
🎃,蟹座
🎄,夜
🎆,雨
🎇,雨
✨,ぴかぴか（新しい）
🎈,グッド（上向き矢印）
🎉,夜
🎊,夜
🎋,蟹座
🎍,夜
🎎,夜
🎏,夜
🎐,雪
🎑,蟹座
🎀,夜
🎁,夜
🎗,夜
🎟,がく～（落胆した顔）
🎫,がく～（落胆した顔）
🎖,夜
🏆,パンチ
🏅,もうやだ～（悲しい顔）
🥇,1
🥈,2
🥉,1
⚽,exclamation×2
⚾,もうやだ～（悲しい顔）
🏀,もうやだ～（悲しい顔）
🏐,もうやだ～（悲しい顔）
🏈,足
🏉,もうやだ～（悲しい顔）
🎾,もうやだ～（悲しい顔）
🎳,もうやだ～（悲しい顔）
🏏,グッド（上向き矢印）
🏑,右斜め上
🏒,グッド（上向き矢印）
🏓,もうやだ～（悲しい顔）
🏸,船
🥊,グッド（上向き矢印）
🥋,もうやだ～（悲しい顔）
🥅,台風
⛳,グッド（上向き矢印）
⛸,グッド（上向き矢印）
🎣,もうやだ～（悲しい顔）
🎽,もうやだ～（悲しい顔）
🎿,グッド（上向き矢印）
🛷,グッド（上向き矢印）
🥌,グッド（上向き矢印）
🎯,もうやだ～（悲しい顔）
🎱,ＮＥＷ
🔮,猫
🎮,もうやだ～（悲しい顔）
🕹,もうやだ～（悲しい顔）
🎰,ＴＶ
🎲,もうやだ～（悲しい顔）
♠,黒ハート
♥,黒ハート
♦,黒ハート
♣,黒ハート
🃏,黒ハート
🀄,もうやだ～（悲しい顔）
🎴,黒ハート
🎭,猫
🖼,猫
🎨,ＮＥＷ
🔇,音楽
🔈,音楽
🔉,音楽
🔊,音楽
📢,音楽
📣,音楽
📯,音楽
🔔,ポイント
🔕,ポイント
🎼,0
🎵,音楽
🎶,音楽
🎙,耳
🎚,足
🎛,がく～（落胆した顔）
🎤,ゲーム
🎧,プレゼント
📻,ー（長音記号１）
🎷,ブティック
🎸,音楽
🎹,音楽
🎺,音楽
🎻,バー
🥁,音楽
📱,iモード（枠付き）
📲,iモード（枠付き）
☎,iモード（枠付き）
📞,音楽
📟,ぴかぴか（新しい）
📠,ＡＴＭ
🔋,車椅子
🔌,プレゼント
💻,iモード（枠付き）
🖥,iモード（枠付き）
🖨,iモード（枠付き）
⌨,iモード（枠付き）
🖱,iモード（枠付き）
🖲,iモード（枠付き）
💽,iモード（枠付き）
💾,iモード（枠付き）
💿,1
📀,1
🎥,眼鏡
🎞,映画
📽,台風
🎬,ゲーム
📺,ＮＥＷ
📷,眼鏡
📸,眼鏡
📹,眼鏡
📼,本
🔍,猫
🔎,猫
🕯,グッド（上向き矢印）
💡,美容院
🔦,ドコモ提供
🏮,蟹座
📔,喫煙
📕,本
📖,本
📗,本
📘,本
📙,本
📚,本
📓,猫
📒,モバＱ
📃,ドコモ提供
📜,ぴかぴか（新しい）
📄,phone to
📰,もうやだ～（悲しい顔）
🗞,もうやだ～（悲しい顔）
📑,ぴかぴか（新しい）
🔖,ぴかぴか（新しい）
🏷,iモード（枠付き）
💰,手（パー）
💴,猫
💵,猫
💶,猫
💷,猫
💸,猫
💳,手（パー）
💹,fax to
💱,手（パー）
💲,手（パー）
✉,ー（長音記号１）
📧,ー（長音記号１）
📨,ー（長音記号１）
📩,ー（長音記号１）
📤,ー（長音記号１）
📥,ー（長音記号１）
📦,ゴルフ
📫,がく～（落胆した顔）
📪,がく～（落胆した顔）
📬,がく～（落胆した顔）
📭,がく～（落胆した顔）
📮,がく～（落胆した顔）
🗳,船
✏,喫煙
✒,黒ハート
🖋,ＴＶ
🖊,ペン
🖌,喫煙
🖍,猫
📝,手（パー）
💼,猫
📁,iモード（枠付き）
📂,iモード（枠付き）
🗂,iモード（枠付き）
📅,exclamation×2
📆,exclamation×2
🗒,猫
🗓,exclamation×2
📇,喫煙
📈,fax to
📉,左斜め上
📊,fax to
📋,プレゼント
📌,喫煙
📍,ホテル
📎,プレゼント
🖇,喫煙
📏,ぴかぴか（新しい）
📐,黒ハート
✂,がく～（落胆した顔）
🗃,黒ハート
🗄,グッド（上向き矢印）
🗑,ぴかぴか（新しい）
🔒,ブティック
🔓,ブティック
🔏,がく～（落胆した顔）
🔐,音楽
🔑,音楽
🗝,音楽
🔨,ぴかぴか（新しい）
⛏,足
⚒,ぴかぴか（新しい）
🛠,ぴかぴか（新しい）
🗡,ダッシュ（走り出すさま）
⚔,ぴかぴか（新しい）
🔫,手（パー）
🏹,射手座
🛡,揺れるハート
🔧,足
🔩,ペン
⚙,グッド（上向き矢印）
🗜,ペン
⚖,やや欠け月
🔗,fax to
⛓,ぴかぴか（新しい）
⚗,水瓶座
🔬,ＴＶ
🔭,ＴＶ
📡,iモード（枠付き）
💉,病院
💊,水瓶座
🚪,車椅子
🛏,足
🛋,猫
🚽,がく～（落胆した顔）
🚿,水瓶座
🛁,水瓶座
🛒,グッド（上向き矢印）
🚬,喫煙
⚰,フリーダイヤル
⚱,フリーダイヤル
🗿,ＮＥＷ
🏧,iモード（枠付き）
🚮,ぴかぴか（新しい）
🚰,水瓶座
♿,新幹線
🚹,exclamation×2
🚺,exclamation×2
🚻,exclamation×2
🚼,ガソリンスタンド
🚾,exclamation×2
🛂,駐車場
🛃,駐車場
🛄,手（パー）
🛅,手（パー）
⚠,がく～（落胆した顔）
🚸,犬
⛔,がく～（落胆した顔）
🚫,がく～（落胆した顔）
🚳,がく～（落胆した顔）
🚭,喫煙
🚯,水瓶座
🚱,禁煙
🚷,がく～（落胆した顔）
📵,
🔞,8
☢,もうやだ～（悲しい顔）
☣,ＮＥＷ
⬆,がく～（落胆した顔）
↗,山羊座
➡,右斜め上
↘,山羊座
⬇,時計
↙,山羊座
⬅,左斜め上
↖,山羊座
↕,揺れるハート
↔,左斜め上
↩,右斜め上
↪,右斜め上
⤴,右斜め上
⤵,右斜め上
🔃,爆弾
🔄,phone to
🔙,ＣＤ
🔚,on
🔛,ＮＥＷ
🔜,ぴかぴか（新しい）
🔝,台風
🛐,もうやだ～（悲しい顔）
⚛,phone to
🕉,ポイント
✡,蠍座
☸,禁煙
☯,ゴルフ
✝,がく～（落胆した顔）
☦,がく～（落胆した顔）
☪,人影
☮,ダッシュ（走り出すさま）
🕎,もうやだ～（悲しい顔）
🔯,ゴルフ
♈,ぴかぴか（新しい）
♉,ＡＴＭ
♊,蠍座
♋,ＡＴＭ
♌,獅子座
♍,蠍座
♎,ＴＶ
♏,獅子座
♐,ＴＶ
♑,ＡＴＭ
♒,ＡＴＭ
♓,ＴＶ
⛎,蠍座
🔀,ゲーム
🔁,音楽
🔂,音楽
▶,もうやだ～（悲しい顔）
⏩,音楽
⏭,音楽
⏯,音楽
◀,音楽
⏪,晴れ
⏮,音楽
🔼,音楽
⏫,音楽
🔽,音楽
⏬,音楽
⏸,足
⏹,台風
⏺,音楽
⏏,失恋
🎦,眼鏡
🔅,霧
🔆,黒ハート
📶,iモード（枠付き）
📳,iモード（枠付き）
📴,iモード（枠付き）
♀,黒ハート
♂,黒ハート
⚕,やや欠け月
♻,水瓶座
⚜,黒ハート
🔱,黒ハート
📛,猫
🔰,もうやだ～（悲しい顔）
⭕,銀行
✅,がく～（落胆した顔）
☑,がく～（落胆した顔）
✔,がく～（落胆した顔）
✖,本
❌,本
❎,本
➕,サーチ（調べる）
➖,サーチ（調べる）
➗,soon
➰,fax to
➿,サーチ（調べる）
〽,サーチ（調べる）
✳,on
✴,天秤座
❇,on
‼,メモ
⁉,メモ
❓,かわいい
❔,かわいい
❕,メモ
❗,メモ
〰,黒ハート
©,ぴかぴか（新しい）
®,ぴかぴか（新しい）
™,黒ハート
💯,5
🔠,ＣＤ
🔡,on
🔢,ＴＶ
🔣,音楽
🔤,exclamation×2
🅰,ＡＴＭ
🆎,ＡＴＭ
🅱,ＡＴＭ
🆑,サーチ（調べる）
🆒,ＣＤ
🆓,ゴルフ
ℹ,iモード（枠付き）
🆔,iモード（枠付き）
Ⓜ,ID
🆕,ＣＤ
🆖,音楽
🅾,ＡＴＭ
🆗,ＴＶ
🅿,phone to
🆘,ＮＥＷ
🆙,ＮＥＷ
🆚,ＡＴＭ
🈁,fax to
🈂,サーチ（調べる）
🈷,夜
🈶,有料
🈯,足
🉐,手（パー）
🈹,ＴＶ
🈚,ゴルフ
🈲,禁煙
🉑,fax to
🈸,曇り
🈴,眠い(睡眠)
🈳,天秤座
㊗,ゴルフ
㊙,たらーっ（汗）
🈺,郵便局
🈵,満月
▪,黒ハート
▫,黒ハート
◻,黒ハート
◼,黒ハート
◽,黒ハート
◾,黒ハート
⬛,黒ハート
⬜,黒ハート
🔶,黒ハート
🔷,ポイント
🔸,黒ハート
🔹,ポイント
🔺,黒ハート
🔻,黒ハート
💠,ポイント
🔘,音楽
🔲,音楽
🔳,音楽
⚪,蟹座
⚫,蟹座
🔴,蟹座
🔵,蟹座
🏁,もうやだ～（悲しい顔）
🚩,グッド（上向き矢印）
🎌,fax to
🏴,fax to
🏴‍☠,猫
🏳,fax to
🏳‍🌈,fax to
🇦🇨,fax to
🇦🇩,fax to
🇦🇪,fax to
🇦🇫,fax to
🇦🇬,fax to
🇦🇮,fax to
🇦🇱,fax to
🇦🇲,fax to
🇦🇴,fax to
🇦🇶,fax to
🇦🇷,fax to
🇦🇸,fax to
🇦🇹,fax to
🇦🇺,fax to
🇦🇼,fax to
🇦🇽,fax to
🇦🇿,fax to
🇧🇦,fax to
🇧🇧,fax to
🇧🇩,fax to
🇧🇪,fax to
🇧🇫,fax to
🇧🇬,fax to
🇧🇭,fax to
🇧🇮,fax to
🇧🇯,fax to
🇧🇱,fax to
🇧🇲,fax to
🇧🇳,fax to
🇧🇴,fax to
🇧🇶,fax to
🇧🇷,fax to
🇧🇸,fax to
🇧🇹,fax to
🇧🇻,fax to
🇧🇼,fax to
🇧🇾,fax to
🇧🇿,fax to
🇨🇦,fax to
🇨🇨,fax to
🇨🇩,fax to
🇨🇫,fax to
🇨🇬,fax to
🇨🇭,fax to
🇨🇮,fax to
🇨🇰,fax to
🇨🇱,fax to
🇨🇲,fax to
🇨🇳,fax to
🇨🇴,fax to
🇨🇵,fax to
🇨🇷,fax to
🇨🇺,fax to
🇨🇻,fax to
🇨🇼,fax to
🇨🇽,fax to
🇨🇾,fax to
🇨🇿,fax to
🇩🇪,fax to
🇩🇬,fax to
🇩🇯,fax to
🇩🇰,fax to
🇩🇲,fax to
🇩🇴,fax to
🇩🇿,fax to
🇪🇦,fax to
🇪🇨,fax to
🇪🇪,fax to
🇪🇬,fax to
🇪🇭,fax to
🇪🇷,fax to
🇪🇸,fax to
🇪🇹,fax to
🇪🇺,fax to
🇫🇮,fax to
🇫🇯,fax to
🇫🇰,fax to
🇫🇲,fax to
🇫🇴,fax to
🇫🇷,fax to
🇬🇦,fax to
🇬🇧,fax to
🇬🇩,fax to
🇬🇪,fax to
🇬🇫,fax to
🇬🇬,fax to
🇬🇭,fax to
🇬🇮,fax to
🇬🇱,fax to
🇬🇲,fax to
🇬🇳,fax to
🇬🇵,fax to
🇬🇶,fax to
🇬🇷,fax to
🇬🇸,fax to
🇬🇹,fax to
🇬🇺,fax to
🇬🇼,fax to
🇬🇾,fax to
🇭🇰,fax to
🇭🇲,fax to
🇭🇳,fax to
🇭🇷,fax to
🇭🇹,fax to
🇭🇺,fax to
🇮🇨,fax to
🇮🇩,fax to
🇮🇪,fax to
🇮🇱,fax to
🇮🇲,fax to
🇮🇳,fax to
🇮🇴,fax to
🇮🇶,fax to
🇮🇷,fax to
🇮🇸,fax to
🇮🇹,fax to
🇯🇪,fax to
🇯🇲,fax to
🇯🇴,fax to
🇯🇵,fax to
🇰🇪,fax to
🇰🇬,fax to
🇰🇭,fax to
🇰🇮,fax to
🇰🇲,fax to
🇰🇳,fax to
🇰🇵,fax to
🇰🇷,fax to
🇰🇼,fax to
🇰🇾,fax to
🇰🇿,fax to
🇱🇦,fax to
🇱🇧,fax to
🇱🇨,fax to
🇱🇮,fax to
🇱🇰,fax to
🇱🇷,fax to
🇱🇸,fax to
🇱🇹,fax to
🇱🇺,fax to
🇱🇻,fax to
🇱🇾,fax to
🇲🇦,fax to
🇲🇨,fax to
🇲🇩,fax to
🇲🇪,fax to
🇲🇫,fax to
🇲🇬,fax to
🇲🇭,fax to
🇲🇰,fax to
🇲🇱,fax to
🇲🇲,fax to
🇲🇳,fax to
🇲🇴,fax to
🇲🇵,fax to
🇲🇶,fax to
🇲🇷,fax to
🇲🇸,fax to
🇲🇹,fax to
🇲🇺,fax to
🇲🇻,fax to
🇲🇼,fax to
🇲🇽,fax to
🇲🇾,fax to
🇲🇿,fax to
🇳🇦,fax to
🇳🇨,fax to
🇳🇪,fax to
🇳🇫,fax to
🇳🇬,fax to
🇳🇮,fax to
🇳🇱,fax to
🇳🇴,fax to
🇳🇵,fax to
🇳🇷,fax to
🇳🇺,fax to
🇳🇿,fax to
🇴🇲,fax to
🇵🇦,fax to
🇵🇪,fax to
🇵🇫,fax to
🇵🇬,fax to
🇵🇭,fax to
🇵🇰,fax to
🇵🇱,fax to
🇵🇲,fax to
🇵🇳,fax to
🇵🇷,fax to
🇵🇸,fax to
🇵🇹,fax to
🇵🇼,fax to
🇵🇾,fax to
🇶🇦,fax to
🇷🇪,fax to
🇷🇴,fax to
🇷🇸,fax to
🇷🇺,fax to
🇷🇼,fax to
🇸🇦,fax to
🇸🇧,fax to
🇸🇨,fax to
🇸🇩,fax to
🇸🇪,fax to
🇸🇬,fax to
🇸🇭,fax to
🇸🇮,fax to
🇸🇯,fax to
🇸🇰,fax to
🇸🇱,fax to
🇸🇲,fax to
🇸🇳,fax to
🇸🇴,fax to
🇸🇷,fax to
🇸🇸,fax to
🇸🇹,fax to
🇸🇻,fax to
🇸🇽,fax to
🇸🇾,fax to
🇸🇿,fax to
🇹🇦,fax to
🇹🇨,fax to
🇹🇩,fax to
🇹🇫,fax to
🇹🇬,fax to
🇹🇭,fax to
🇹🇯,fax to
🇹🇰,fax to
🇹🇱,fax to
🇹🇲,fax to
🇹🇳,fax to
🇹🇴,fax to
🇹🇷,fax to
🇹🇹,fax to
🇹🇻,fax to
🇹🇼,fax to
🇹🇿,fax to
🇺🇦,fax to
🇺🇬,fax to
🇺🇲,fax to
🇺🇳,fax to
🇺🇸,fax to
🇺🇾,fax to
🇺🇿,fax to
🇻🇦,fax to
🇻🇨,fax to
🇻🇪,fax to
🇻🇬,fax to
🇻🇮,fax to
🇻🇳,fax to
🇻🇺,fax to
🇼🇫,fax to
🇼🇸,fax to
🇽🇰,fax to
🇾🇪,fax to
🇾🇹,fax to
🇿🇦,fax to
🇿🇲,fax to
🇿🇼,fax to
